"EnterpriseName","State","District","Pincode","RegistrationDate","CommunicationAddress","NIC5DigitCode","NICDescription"
"REGAL OPTICIANS","KARNATAKA","BELAGAVI","591215.0","26/05/2022","SHOP NO.6, BHAIRAV COMPLEX, SOMAWAR PETH, MAIN ROAD, SHOP NO.6, KUNNUR, KUNNUR","32507","Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles etc."
"ANJANADRI STUDIO WORKS","KARNATAKA","KOLAR","563135.0","22/01/2022","55, STUDIO COMPLEX, MG ROAD, 55, SRINIVASPUR, KOLAR","26301","Manufacture of radio and television studio and broadcasting equipment, including television cameras"
"Geeta Tailor","KARNATAKA","UTTAR KANNAD","581384.0","30/05/2022","Bommanakodllu, Own house, Jyotinagar, Gerusoppa, Bommanakodllu, Hulegar, Honnavar","14105","Custom tailoring"
"RASHIDA MANIYAR","KARNATAKA","BELAGAVI","590016.0","25/01/2022","HOUSE NO 1070/1, GULABSHA GALLI, GULABSHA GALLI, HOUSE NO 1070/1, GULABSHA GALLI, BELAGAVI","14105","Custom tailoring"
"KRISHNA GARMENTS","KARNATAKA","BENGALURU (URBAN)","560091.0","25/01/2022","NO 16, GROUND FLOOR, SANJEEVINI NAGARA, VEERANJANEYA TEMPLE ROAD, NO 16, VISHWANEEDAM POST, BANGALORE","14109","Manufacture of wearing apparel n.e.c."
"SHAKUNTALA CLOTH CENTRE","KARNATAKA","BENGALURU (URBAN)","560013.0","25/01/2022","NO 42, 3RD CROSS, D C LAYOUT, NO 42, RAMACHANDRA PURA, BANGALORE","14109","Manufacture of wearing apparel n.e.c."
"WINMECH TECHNOLOGIES","KARNATAKA","BENGALURU (URBAN)","560091.0","30/05/2022","NO 35, VINAYAKA BADAVANE, CHETHAN CIRCLE PEENYA 2ND S, NO 35, BYRAVESHWARA INDUSTRIAL AREA, BANGALORE","28191","Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major components"
"SHIVAMMA ENTERPRISES","KARNATAKA","MANDYA","571433.0","29/07/2022","1, 1, 1, 1, 1, MADDUR","14105","Custom tailoring"
"Marlani Farms","KARNATAKA","DAKSHIN KANNAD","574328.0","29/07/2022","1-43, Marlani house, Dolpady, 1-43, Kaniyoor, Kadaba","10104","Poultry and other slaughtering, preparation"
"Shri Shyam Shekhawati Rajasthan Dhaba","KARNATAKA","BELAGAVI","591237.0","28/05/2022","29, NH4 Near Halsidhanath Sugar Factory, NH4 Sugar  Factory, 29, 29, Nipani","10750","Manufacture of prepared meals and dishes"
"Ranga treders","KARNATAKA","HASSAN","573116","17/04/2021","2nd block, Ranga buliding, B c road, 2nd block, 2 nd block, Hassan","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"LAKSHMI CHICKEN CENTER","KARNATAKA","BENGALURU (URBAN)","560065","17/04/2021","No. 25, LAKSHMI CHICKEN CENTER, Yelahanka New Town, No. 25, Mathru Layout, Bangalore","10104","Poultry and other slaughtering, preparation"
"SRI VMD SOLUTIONS","KARNATAKA","BENGALURU (URBAN)","560091.0","25/01/2021","34, 5THCROSS, 1STMAIN, ACHARYA B SCHOOL,, ANDHRALLI ROAD, 34, R.R.LAYOUT, BANGALORE","28140","Manufacture of bearings, gears, gearing and driving elements"
"SHRIRAM MENS WEAR","KARNATAKA","DHARWAD","580020","30/09/2021","#, SUKH SAGAR MALL, MARATHA GALLI, #, DECCAN MALL, HUBLI","14101","Manufacture of all types of textile garments and clothing accessories"
"VISHNU GARMENTS","KARNATAKA","KODAGU","571234","30/09/2021","4-40/3, PUTTAIAH COMPLEX, RATHABEEDI, 4-40/3, 4TH BLOCK, KUSHALNAGAR","13139","Other activities relating to finishing of textile n.e.c."
"R T TIMBERS","KARNATAKA","BENGALURU (URBAN)","560087.0","13/01/2021","NO 245/2, Ground Floor,, VARTHUR HOBLI, NO 245/2, ., BANGALORE","16211","Manufacture of ply wood and veneer sheets"
"Sri Vasani Pipe Centre","KARNATAKA","DAVANGERE","577002.0","11/09/2021","3, RH Ginning Factory Complex, P B Road, 3, 1, Davanagere","22191","Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
"Grain Merchant","KARNATAKA","BELAGAVI","591237.0","24/01/2022","250/A, Shintre Colony Nipani, Shintre Colony Nipani, 250/A, 250/A, Nipani","10614","Grain milling other than wheat, rice and dal"
"M N S GENERAL ENGINEERING WORKS","KARNATAKA","DAVANGERE","577556.0","24/01/2022","55/2 A, MAIN ROAD, 55/2 A, MAIN ROAD, MAIN ROAD, 55/2 A, MAIN ROAD, MAIN ROAD, DAVANGERE","25999","Manufacture of other fabricated metal products n.e.c."
"Bhaga Mil Carry Cases","KARNATAKA","BENGALURU (URBAN)","560043.0","27/05/2022","No.7, 4th Floor, KNSS Colony, Near Govt School, No.7, 4th Floor, 1st Cross, Bangalore","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"SRI LAKSHMI HOME APPLIANCES","KARNATAKA","BENGALURU (RURAL)","561203.0","23/03/2022","0, KALAMMA TEMPLE OPP, DODDABALLAPUR, 0, GANIGARAPETE, DODDABALLAPUR","27509","Manufacture of other domestic appliances n.e.c."
"NEW GOLDEN BAKERY","KARNATAKA","BELAGAVI","591243.0","27/05/2022","0, DADABANAHATTI, NEAR BUS STAND, 0, DADABANAHATTI, DADABANAHATTI","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"MARUTI PROFILE AND FURNITURE","KARNATAKA","BELAGAVI","590003.0","27/05/2022","2529, MARUTI, MAHATAMA PHULE ROAD, 2529, SHAHAPUR, BELGAUM","31001","Manufacture of furniture made of wood"
"PAVITHRA CHICKEN CENTER","KARNATAKA","RAMANAGARA","562112.0","27/07/2022","RANGANA CIRCLE, MEGALA BEEDI, KANAKAPURA, RANGANA CIRCLE, HAROHALLI, RAMANAGARA","10104","Poultry and other slaughtering, preparation"
"Anjan Enterprises","KARNATAKA","BENGALURU (URBAN)","560060.0","27/07/2022","2nd floor 215 MIG, Menaka, 3rd Road, 2nd floor 215 MIG, Kengeri Satellite Town, Bengaluru","13139","Other activities relating to finishing of textile n.e.c."
"JAY KIMBLE TIES","KARNATAKA","BENGALURU (URBAN)","560005.0","27/03/2021","NO 5, SAPNA KUNJ, CHARLES CAMPBELL ROAD, NO 5, COX TOWN, BANGALORE","22209","Manufacture of other plastics products n.e.c"
"M/S CBEESO SPACESAVERS LLP","KARNATAKA","BENGALURU (URBAN)","560105.0","27/03/2021","#36 Bommasandra, Jigani Link Road, Jigani Link Road, #36 Bommasandra, #36, Bangalore","31003","Manufacture of furniture primarily of metal"
"SHREE BALAJI WIRENETTING & CO","KARNATAKA","BENGALURU (URBAN)","560002.0","27/03/2021","OLD NO 30 NEW NO 27, SHREE BALAJI WIRENETTING & CO, KALASIPALYAM NEW EXTENSION, OLD NO 30 NEW NO 27, NEW BAMBOO BAZAAR, BANGALORE","25999","Manufacture of other fabricated metal products n.e.c."
"GAJANANA TELE SYSTEMS","KARNATAKA","KOLAR","563131.0","19/10/2020","NO 4007, THYAGARAJA CLONY, THYAGARAJA CLONY, NO 4007, MULBAGAL TOWN, MULBAGAL TALUK","11043","Manufacture of mineral water"
"SHRI MARSOOQUE CHERUKUNNON","KARNATAKA","BENGALURU (URBAN)","560043.0","26/11/2021","2nd floor, site no 35, hbr layout, 2nd floor, 23rd cross18th main 5th block, bangalore","10795","Grinding and processing of spices"
"GIRISH S H","KARNATAKA","BENGALURU (URBAN)","560091.0","27/11/2021","NO. 79/1 11TH CROSS, SRINIVASANAGARA, BANGALORE, NO. 79/1 11TH CROSS, YESHAWANTHAPURA HOBLI, Bengaluru","32909","Manufacture of other articles n.e.c."
"M/S AJM CNC TOOL TECH","KARNATAKA","BENGALURU (URBAN)","560091.0","16/11/2021","#8 &9, 2nd &#39;, Behind milk dairy Stop, Near Peenya 2nd stage, #8 &9, 2nd &#39;, Vishwaneedam Post, Bangalore","29301","Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering olumns and steering boxes etc."
"Driver","KARNATAKA","CHITRADURGA","577540.0","16/11/2021","#95, Driver, Rampur, #95, #95, Molakalmuru","10624","Manufacture of gluten"
"SIDDAMMA DAIRY","KARNATAKA","GADAG","582205.0","16/11/2021","NA, NA, KURUBAGERI ONI, NA, NA, GADAG","10502","Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food"
"SRI VENKATESHWARA TEXTILES","KARNATAKA","BENGALURU (URBAN)","562106.0","13/01/2022","NARAYANAMURTHY LAYOU, HDFC POINT, ANEKAL TALUK, NARAYANAMURTHY LAYOU, ANEKAL TALUK, BANGALORE","13122","Weaving, manufacture of silk and silk mixture fabrics."
"SAHANA  EMBROIDERY BLOUSE","KARNATAKA","VIJAYAPURA","586130.0","17/05/2022","01, W/O VINAYAK KICHADI, TIKOTA ROAD, 01, 01, VIJAYAPURA","13991","Embroidery work and making of laces and fringes"
"shiree ganesh darshini hotel","KARNATAKA","DHARWAD","580025.0","22/06/2022","00, ISHWAR NAGAR, ISHWAR NAGAR, 00, 0, DHARWAD","10791","Processing and blending of tea including manufacture of instant tea"
"PARAPPA AMATYANAVAR","KARNATAKA","BAGALKOT","587315.0","31/05/2021","REBULE STAR TELAR, SIDDESWAR GUDI ROAD TERDAL, SIDDESWAR GUDI ROAD TERDAL, REBULE STAR TELAR, 19, TERDAL","32909","Manufacture of other articles n.e.c."
"PRAMOD MAHADAV KATTI","KARNATAKA","BELAGAVI","590006.0","02/12/2020","BLOCK NO 8 4TH CROSS, PADMAVATI NIVAS, OPP. CHINMAY MISSION, BHAGYA NAGAR, BLOCK NO 8 4TH CROSS, DHANASHRIBEL GARDEN, BELAGAVI","10793","Processing of edible nuts"
"JAI MARUTHI GARMENTS","KARNATAKA","BENGALURU (URBAN)","560091.0","02/12/2020","No.98, 3rd Cross, Bengaluru, No.98, Andrahalli, Bengaluru","14101","Manufacture of all types of textile garments and clothing accessories"
"SUJATA ENTERPRISES","KARNATAKA","BAGALKOT","587311.0","02/12/2020","8276/H, ASHOK COLONY, MAIN ROAD ASHOK COLONY, 8276/H, 8276/H, BANAHATTI","33129","Repair and maintenance of other special purpose machinery of division 28 (weighing equipment, vending machines, cash registers, photocopy machines, calculators, typewriters etc.)"
"MURTHY GARMENTS","KARNATAKA","BENGALURU (URBAN)","560018.0","30/08/2020","NO.118D, 2ND MAIN ROAD, .., NO.118D, JJR NAGAR, BANGALORE","14101","Manufacture of all types of textile garments and clothing accessories"
"M/S UPASAK VENTURES PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560070.0","30/08/2020","NO 758, V. BHARATHI,, 15TH MAIN, NO 758, B.S.K 2ND STAGE, Bangalore","14109","Manufacture of wearing apparel n.e.c."
"ANUSAYA TEXTILES","KARNATAKA","BELAGAVI","591263.0","30/08/2020","A/P MAL BHAG, KARADGA, KARADGA, A/P MAL BHAG, KARADGA, KARADGA","13996","Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons"
"MOHAMMED NADEEM ELECTRICALS","KARNATAKA","BENGALURU (RURAL)","561203.0","30/08/2020","542, SHANTHI NAGAR, 5TH CROSS, 542, SHANTHINAGAR, BANGALORE","33140","Repair of electrical equipment"
"QUALITY DENT","KARNATAKA","BENGALURU (URBAN)","560047.0","31/05/2021","No.06, EJIPURA RESIDENCE ASSOCIATION, 0, No.06, 0, Bangalore","32509","Manufacture of other medical and dental instruments n.e.c."
"PETER TRADERS","KARNATAKA","BALLARI","583116.0","31/05/2021","22, WARD NO 23, GAVI, GAVISIDDESHWARA NAGAR, KURUGODU, B, 22, WARD NO 23, GAVISIDDESHWAR, 22, WARD NO 23, GAVI, 22, WARD NO 23, GAVISIDDESHWAR, 22, WARD NO 23, GAVISIDDE","32909","Manufacture of other articles n.e.c."
"Arihant Cotton Seeds Cake And Oil Mill","KARNATAKA","BELAGAVI","591303.0","31/05/2021","Siddeshwar Main Road, Near PKPS Bank, Mole, Siddeshwar Main Road, Mole, Mole","10801","Manufacture of cattle feed"
"VALAYAL INTERIORS","KARNATAKA","BENGALURU (URBAN)","560068.0","23/02/2021","NO.19/B, GROUND FLOOR, MADIWALA NEW EXTENSION, NO.19/B, SITE.NO.16 AND 17,9TH CROSS, BANGALORE","25119","Manufacture of other structural metal products"
"S L V JUICE SNACS AND CONDIMENTS","KARNATAKA","BENGALURU (URBAN)","560068.0","23/02/2021","NO. 16, GROUND FLOOR, KUDULU ROAD, NO. 16, CHOODASANDRA CIRCLE, BANGALORE","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"S L V  ENTERPRISES","KARNATAKA","BENGALURU (RURAL)","560082.0","23/02/2021","NO 163/1, LAKE ROAD, KENGERI HOBLLI THATHAGUNI POST, NO 163/1, -, BENGALURU","27900","Manufacture of other electrical equipment"
"JUVIN FOODS ( A UNIT OF JUVIN GROUP OF COMPANIES)","KARNATAKA","DAKSHIN KANNAD","575027.0","23/02/2021","DOOR. NO. 2 - 146/1B, JUVIN FOODS, HENCEL ESTATES, KARAMBAR, DOOR. NO. 2 - 146/1B, SURVEY NO. 35/1, No. 1, BAJPE POST, MANGALORE","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"Anns View Bakery","KARNATAKA","BENGALURU (URBAN)","560075.0","02/12/2020","No 1891/D, B.E.M.L MAIN ROAD, NEW THIPPASANDRA, No 1891/D, 3RD STAGE, BANGALORE","10711","Manufacture of bread"
"GAAGAJA ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560048.0","02/12/2020","B/H OM SAKTHI TEMPLE, GANDHARVA HOUSE, BENGALURU EAST, B/H OM SAKTHI TEMPLE, MAHADEVAPURA POST, BENGALURU","11043","Manufacture of mineral water"
"RAGHAVENDRA ENGINEERING WORKS","KARNATAKA","BENGALURU (URBAN)","560021.0","02/12/2020","43/1, NAGAPPA BLOCK, 4 TH CROSS, 43/1, NAGAPPA BLOCK, BANGALORE","25920","Machining; treatment and coating of metals"
"Shri Megha","KARNATAKA","BIDAR","585401.0","10/08/2021","56, Shinde, Bust stand Road, 56, 12, Bidar","32909","Manufacture of other articles n.e.c."
"ARIAN","KARNATAKA","BENGALURU (RURAL)","560047.0","10/08/2021","NO.76-65-27/1,, ELEGANT QUEENSBURY BUILDING ,, NA, NO.76-65-27/1,, AUSTIN TOWN,, BANGALORE","10750","Manufacture of prepared meals and dishes"
"SAVITRI MAHESH AKKANNAVAR","KARNATAKA","BELAGAVI","591127.0","31/08/2020","519, GALIPETH, GALIPETH, 519, RAMADURG, MANIHAL","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"HASEENA TAILORS","KARNATAKA","DAVANGERE","577601.0","31/08/2020","BASHIRA BANU, 42, HARIHAR, BASHIRA BANU, NADUVALEPETE, DAVANGERE","14105","Custom tailoring"
"M/S SRI SAI BABA INDUSTRIES","KARNATAKA","CHIKKAMAGALURU","577101.0","10/04/2022","46, M/S SRI SAI BABA INDUSTRIES, CHIKKAMAGALURU BLOCK, 46, AMBALE GRAMA PANCHAYATHI, CHIKKAMAGALURU","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"Y S R J TRADERS","KARNATAKA","CHIKBALLAPUR","562104.0","08/02/2022","SY NO 48/5, ARURU POST, NH 7, SY NO 48/5, CHIKKABALLAPURA THALUCK, CHIKKABALLAPURA","25119","Manufacture of other structural metal products"
"Krishna Kanade","KARNATAKA","BELAGAVI","591103.0","08/02/2022","869, Kanade building, Kalmeshwar Nagar Sulebhavi, 869, 01, Belagavi","13124","Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"BALAJI TAILORS","KARNATAKA","BENGALURU (URBAN)","560057.0","08/02/2022","Pipeline road, Balaji tailors, Pipeline road, Pipeline road, T dasarahalli, Banglore","14105","Custom tailoring"
"THE BUY SELL & CHICKEN FISH CENTER","KARNATAKA","BENGALURU (URBAN)","560099.0","10/12/2021","Rajappa Building, Hanuman Temple, Bommasandra Heelalige Road, Rajappa Building, Anekal Tq, Bangalore","10209","Production, processing and preservation of other fish products n.e.c."
"HAMSA FRUITS DISTRIBUTORS","KARNATAKA","BENGALURU (URBAN)","560036.0","01/02/2021","143, JINKATHIMMANAHALLI, MARAGONDANAHALLI MAIN ROAD, 143, NEAR DIAMOND P U COLLAGE, BAGALORE","10301","Sun-drying of fruit and vegetables"
"SIDDAIAH INDUSTRIES","KARNATAKA","CHAMARAJNAGAR","571443","22/09/2020","NO.208, B GUNDAPURA, CHAMARAJANAGARA, NO.208, KOLLEGALA TALUK, CHAMARAJANAGARA","13122","Weaving, manufacture of silk and silk mixture fabrics."
"SAHANA CHETHAN","KARNATAKA","MYSURU","570019.0","25/08/2021","NO 1548, W O CHETHAN KUMAR N, HULIAMMA TEMPLE CR RD, NO 1548, ,, MYSORE","14105","Custom tailoring"
"SRI VENKATESHWARA FRUITS CO","KARNATAKA","CHIKBALLAPUR","562110.0","25/08/2021","NO 62, VENKATAGIRIKOTE, DEVANAHALLI, NO 62, VIJAYAPURA, DEVANAHALLI","32909","Manufacture of other articles n.e.c."
"M/S MAATI","KARNATAKA","BENGALURU (URBAN)","560021.0","13/03/2021","NO.801/2, GROUND FLOOR, PRAKASH NAGAR, NO.801/2, 3RD CROSS, BANGALORE","25994","Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)"
"M/S LENCOTT CLOTHING","KARNATAKA","BENGALURU (URBAN)","560078.0","13/03/2021","NO 9, 25/1GROUND FL, 9TH CROSS 19TH A, MAIN, J P NAGAR, NO 9, 25/1GROUND FL, 2ND PHASE, BANGALORE","13999","Manufacture of other textiles/textile products n.e.c."
"S G K AND CO","KARNATAKA","BENGALURU (RURAL)","560040.0","23/12/2020","No 6, Manjunatha Nilaya, Subbanna Garden Vijayanagar, No 6, 7th Cross, 7th Main, Bengaluru","10309","Preservation of fruit and vegetables n.e.c."
"M/S PANCHAMI AGRO COMMODITIES","KARNATAKA","DAKSHIN KANNAD","574227.0","25/06/2021","PLOT NO 93 ,3-11Y, KADLEKERE INDUSTRIES, MOODBIDRI, PLOT NO 93 ,3-11Y, ALANGAR ROAD, MANGALORE","10793","Processing of edible nuts"
"SHRI VEERABHADRESHWAR GENARAL WELDING WORKS","KARNATAKA","DHARWAD","581113.0","06/10/2020","97, SHRI VEERABHADRESHWAR GENARAL WELDING SHEED, LAXMESHWAR ROAD, 97, KUNDAGOLA, DHARWAD","25111","Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
"POORNIMA BOUTIQUES","KARNATAKA","BENGALURU (RURAL)","562110.0","20/03/2021","WARD N0 15, Adike muniyappa building, New bus stand road, WARD N0 15, Devanahalli, DEVANAHALLI TOWN","14105","Custom tailoring"
"M/S FLIPCHIP ELECTRONICS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560062.0","20/03/2021","Premises No. 19/2D,, J. C. Industrail Estate,, Bikasipura Main Road,, Premises No. 19/2D,, Behind Metro Cash & Carry,, Bangalore","32909","Manufacture of other articles n.e.c."
"AEP PRODUCTS INDIA PRIVATE LIMITED","KARNATAKA","BELAGAVI","590008.0","31/03/2021","SPL PLOT NO 7, HARKUNI INDUSTRIAL COMPLEX, KHANAPUR ROAD, SPL PLOT NO 7, GROUND FLOOR, BELAGAVI","32909","Manufacture of other articles n.e.c."
"Vanisri","KARNATAKA","UDUPI","576214.0","06/10/2020","Belkimane Bada, Bada, Bada, Belkimane Bada, Byndoor, Byndoor","14105","Custom tailoring"
"M/S UNIVERSAL PRODUCTS","KARNATAKA","BENGALURU (URBAN)","560086.0","20/03/2021","NO 17/1,, 6th Cross, Mahalakshmipuram, NO 17/1,, Bhovipalya, Bangalore","31001","Manufacture of furniture made of wood"
"POWER BAG INDUSTRIES","KARNATAKA","UTTAR KANNAD","581330.0","25/06/2021","C-1-175, INDUSTRIAL AREA, KUMTA, C-1-175, KUMTA, KUMTA","13999","Manufacture of other textiles/textile products n.e.c."
"Vaishnavi Industries","KARNATAKA","CHIKBALLAPUR","562101.0","25/06/2021","P 26, Vaishnavi Industries, KIADB Industrial Area, P 26, Chikkaballapur, Chikkaballapur","20297","Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
"M/S LAKSHMI SAW MILLS & WOOD INDUSTRIES","KARNATAKA","SHIVAMOGGA","577201.0","22/03/2021","., M/S. SRI LAKSHMI SAW MILLS & WOOD INDUSTRIES, B.H.ROAD, NEAR ARUN MOTORS, ., BRODGE CIRCLE,, SHIMOGA","16101","Sawing and planing of wood"
"M/S KISHORMAL SINGHVI","KARNATAKA","BENGALURU (RURAL)","561203.0","06/01/2021","12, Lakshmi Handloom Weaver, Cinema Road, 12, N/A, Bengaluru","13124","Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"M/S SURYA AGRO FOODS","KARNATAKA","KOPPAL","583229.0","04/07/2021","SY NO.41/B3, RAVI NAGAR, R G ROAD, SY NO.41/B3, RAVI NAGAR, KARATAGI","10793","Processing of edible nuts"
"MAHADEV TILES FITTING","KARNATAKA","BELAGAVI","590008.0","19/10/2020","684, SHIVAJI GALLI KHADARWADI, KHANAPUR ROAD, 684, NO, BELGAUM","13999","Manufacture of other textiles/textile products n.e.c."
"M/S BANASHANKARI ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560060.0","19/10/2020","199/20/1/A, 2ND FLOOR, KENGERI CHANNASANDRA ROAD, 199/20/1/A, RAJARAJESHWARI NAGAR, BANGALORE","11031","Manufacture of beer"
"JAYANTHI B","KARNATAKA","BENGALURU (URBAN)","560002.0","19/10/2020","NO 1, JAYANTHI, SEETH RAMA MANDIR ROAD, NO 1, KRISHNA SINGH LINE, BANGALORE","13997","Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
"Fish Market","KARNATAKA","UTTAR KANNAD","581335.0","13/09/2021","#711. Gaddemane, Gaddemane, Society road, #711. Gaddemane, Gaddemane, Honnavar","10750","Manufacture of prepared meals and dishes"
"M/S VATTAM IRON MART","KARNATAKA","BALLARI","583103.0","04/07/2021","18/8 C, VATTAM IRON MART, 2ND CROSS, 18/8 C, GANDHINAGAR, BALLARI","24103","Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel"
"M/S SVK POWER SOLUTIONS","KARNATAKA","BENGALURU (URBAN)","560010.0","04/07/2021","NO 69, ( 591 D ), Dr.RAJKUMAR ROAD, NO 69, 2ND BLOCK, BENGALURU","27900","Manufacture of other electrical equipment"
"Kolkata Chat","KARNATAKA","BENGALURU (URBAN)","560076.0","14/01/2021","18, Reliance  Fresh Building, 100ft Ring road, 18, Mico Layout, Bangalore","10796","Manufacture of papads, appalam and similar food products"
"DHANALAKSHMI ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560070.0","14/01/2021","No 19, First Floor, M K P Road, No 19, ., Bangalore","20236","Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)"
"VASANTHI","KARNATAKA","DAKSHIN KANNAD","574213.0","13/09/2021","1-125, GUTTABETTU HOUSE, MOODBIDRI, 1-125, 1-125, moodbidri","14105","Custom tailoring"
"M/S SHREE YASHODA FASHIONS","KARNATAKA","BENGALURU (URBAN)","560002.0","13/09/2021","NO 30 1ST FLOOR, SHREE YASHODA FASHIONS, SANJEEV NAIK LANE, NO 30 1ST FLOOR, AVENUE ROAD, BANGALORE","14101","Manufacture of all types of textile garments and clothing accessories"
"SHRI LAKSHMI VENKATESHWARA PROVISION STORE","KARNATAKA","BENGALURU (URBAN)","560078.0","19/10/2020","NO. 9, ,, JARAGANAHALLI NAIDU LAYOUT, NO. 9, 1ST CROSS, BANGALORE","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"BLUE SUMMER FASHIONS","KARNATAKA","BENGALURU (URBAN)","560078.0","19/10/2020","NO.5, NO.5,3RD FLOOR, JP NAGAR, NO.5, 3RD PHASE, BANGALORE","15129","Manufacture of other consumer goods of leather and substitutes of leather n.e.c."
"Surabhi jewellery","KARNATAKA","BENGALURU (RURAL)","560091.0","14/01/2021","#252, Kalappa building, Opp: Janapriya township, #252, Bangalore north, Bangalore","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
"GOWTHAMY ENGINEERING","KARNATAKA","BENGALURU (URBAN)","560068.0","27/03/2021","NO.16,E CROSS,, NO.51,53,54,, BEGUR ROAD, NO.16,E CROSS,, HONGASANDRA, BANGALORE","28259","Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines)"
"M/S ELESPEE PRODUCTS PRIVATE LIMITED","KARNATAKA","DAKSHIN KANNAD","575011.0","27/03/2021","PLOT NO. 446, ELESPEE PRODUCTS PRIVATE LIMITED, INDUSTRIAL AREA BAIKAMPADY, PLOT NO. 446, PLOT NO. 446, MANGALORE","29301","Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering olumns and steering boxes etc."
"GURUPRASAD READYMADE GARMENTS","KARNATAKA","BENGALURU (URBAN)","560102.0","23/12/2020","NO.43, 24TH MAIN ROAD, .., NO.43, HSR LAYOUT, BANGALORE","14101","Manufacture of all types of textile garments and clothing accessories"
"SREE CHAMUNDI INDUSTRIES","KARNATAKA","BENGALURU (URBAN)","560079.0","23/12/2020","NO 138, PETE CHANNAPPA INDL ESTATE, BANGALORE, NO 138, 1ST MAIN ROAD, BANGALORE","25113","Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)"
"M/S G R ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560010.0","23/12/2020","NO. 45/45, 45/46, GUBBANNA INDUSTRIAL ESTATE, 10TH CROSS, 1ST MAIN ROAD, NO. 45/45, 45/46, 6TH BLOCK, BANGALORE","25910","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"M/s Classic Heater Systems","KARNATAKA","BENGALURU (URBAN)","560016","23/09/2020","NO.3B, INDRANINILAYAM, RAMURTHYNAGGAR, NO.3B, NEW MANJUNATHA LAYOUT, BANGALORE","27900","Manufacture of other electrical equipment"
"S K B Enterprises","KARNATAKA","BENGALURU (URBAN)","560105","23/09/2020","SHOP No-6, PLOT NO-323P, KIADB INDUSTRIAL AREA, BOMMASANDRA-JIGANI LINK ROAD, SHOP No-6, NEAR APC CIRCLE, BANGALORE","29301","Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering olumns and steering boxes etc."
"ASIT MANDAL","KARNATAKA","BENGALURU (URBAN)","560002","23/09/2020","NO.44, 6TH CROSS, LDS ARCADE, MANORAYANAPALYA, NO.44, 6TH CROSS, RT NAGAR, BANGALORE","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
